timestamp,funding,price,volume
1657468800000,1.0E-4,20892.50,168768.112
1657497600000,4.543E-5,20853.80,164246.345
1657526400000,7.236E-5,20429.30,202330.215
1657555200000,8.5E-5,20430.20,194669.427
1657584000000,8.003E-5,19954.30,181339.010
1657612800000,6.433E-5,19722.90,238943.192
1657641600000,2.667E-5,19876.90,220278.521
1657670400000,-1.204E-5,19322.90,139090.257
1657699200000,6.17E-6,19699.80,523384.718
1657728000000,-1.218E-5,19445.10,313463.190
1657756800000,5.7E-7,20220.10,182388.967
1657785600000,1.0E-4,19981.30,322387.493
1657814400000,3.451E-5,20379.40,261213.070
1657843200000,9.257E-5,20578.60,195368.590
1657872000000,1.401E-5,20823.30,244582.913
1657900800000,1.601E-5,20785.10,186812.189
1657929600000,6.055E-5,20823.10,114477.521
1657958400000,7.996E-5,20541.00,131270.670
1657987200000,8.0E-6,20934.90,293458.679
1658016000000,8.038E-5,21183.60,147400.717
1658044800000,1.0E-4,21460.00,187909.827
1658073600000,8.709E-5,21158.00,150227.184
1658102400000,1.0E-4,20794.40,300402.951
1658131200000,1.0E-4,22243.30,344916.928
1658160000000,1.0E-4,22673.60,337547.855
1658188800000,1.0E-4,22423.50,312551.918
1658217600000,1.0E-4,21760.90,426973.888
1658246400000,1.0E-4,23117.10,384503.276
1658275200000,1.0E-4,23385.90,227252.788
1658304000000,1.0E-4,23377.00,360715.668
1658332800000,8.118E-5,24153.50,358679.359
1658361600000,1.0E-4,23221.50,216564.286
1658390400000,1.0E-4,22926.60,273517.347
1658419200000,1.0E-4,22633.70,233461.833
1658448000000,1.0E-4,23144.50,141183.254
1658476800000,1.0E-4,23109.30,282300.314
1658505600000,5.172E-5,23286.70,210424.366
1658534400000,9.043E-5,22675.00,116806.710
1658563200000,1.021E-5,22764.20,227887.384
1658592000000,1.0E-4,22209.90,161193.579
1658620800000,3.77E-5,22440.10,149055.045
1658649600000,1.0E-4,22692.40,176112.752
1658678400000,8.293E-5,22837.00,137791.156
1658707200000,1.0E-4,22570.60,208244.442
1658736000000,1.238E-5,21951.20,210577.775
1658764800000,2.319E-5,21884.40,276948.438
1658793600000,1.0E-4,21300.00,183023.360
1658822400000,3.654E-5,21053.70,187422.476
1658851200000,8.659E-5,20737.60,182053.067
1658880000000,4.591E-5,21241.00,128891.783
1658908800000,5.085E-5,21335.00,150838.538
1658937600000,2.951E-5,21516.50,473639.982
1658966400000,9.229E-5,22941.10,171204.741
1658995200000,1.0E-4,22916.40,354261.095
1659024000000,1.0E-4,23739.40,231276.000
1659052800000,1.0E-4,23836.20,164378.684
1659081600000,1.0E-4,23938.00,286007.043
1659110400000,1.0E-4,24003.00,191951.324
1659139200000,1.0E-4,23771.00,98178.736
1659168000000,1.0E-4,23869.80,215273.742
1659196800000,1.0E-4,24522.80,180372.338
1659225600000,1.0E-4,23630.00,79504.374
1659254400000,1.0E-4,23704.90,97798.602
1659283200000,6.281E-5,23764.20,208666.874
1659312000000,1.0E-4,23290.10,96300.925
1659340800000,1.0E-4,23313.30,229609.313
1659369600000,6.449E-5,23315.10,172468.054
1659398400000,1.0E-4,23257.60,151453.354
1659427200000,9.733E-5,22875.50,254812.737
1659456000000,5.885E-5,22962.80,218961.821
1659484800000,3.28E-6,22975.10,125239.216
1659513600000,-3.96E-5,22979.60,260089.130
1659542400000,4.382E-5,23345.90,183933.422
1659571200000,-1.91E-6,22801.50,157241.066
1659600000000,1.778E-5,22934.90,212665.916
1659628800000,1.436E-5,22914.20,178361.834
1659657600000,1.692E-5,22608.90,175044.444
1659686400000,6.774E-5,23176.90,267675.370
1659715200000,2.115E-5,22979.10,151272.316
1659744000000,6.888E-5,23298.00,73895.928
1659772800000,8.589E-5,23196.40,58406.916
1659801600000,1.0E-4,23191.20,95356.550
1659830400000,1.0E-4,22943.20,70573.017
1659859200000,-7.37E-6,23000.00,89246.913
1659888000000,2.401E-5,23012.20,111692.132
1659916800000,1.0E-4,23167.90,155485.070
1659945600000,2.79E-5,23796.80,263013.323
1659974400000,1.0E-4,23986.80,146585.826
1660003200000,1.0E-4,23804.30,91124.636
1660032000000,7.92E-5,23866.20,304098.155
