timestamp,funding,change_6h_price,change_6h_volume,change_4h_price,change_4h_volume,change_2h_price,change_2h_volume,change_last_price,change_last_volume
1654070400000,1.0E-4,117.0,-1495.0040000000008,-173.90000000000146,7061.633999999998,-185.10000000000218,-2219.785,-318.3000000000029,-2457.916000000001
1654099200000,1.0E-4,200.5,10571.389,116.40000000000146,23671.236999999997,239.90000000000146,88870.012,-746.0,105814.839
1654128000000,-1.452E-5,-570.2999999999993,-63793.629,-617.0999999999985,-52504.507,-1150.7999999999993,-89694.555,-936.6999999999971,-96406.137
1654156800000,2.265E-5,0.0,-11440.361,-78.40000000000146,-10696.494,63.099999999998545,-4993.027000000002,155.89999999999782,-10965.184000000001
1654185600000,2.107E-5,-35.099999999998545,14375.366999999998,205.0,61557.784999999996,-72.39999999999782,52652.450000000004,241.60000000000218,17121.21
1654214400000,-3.378E-5,-14.100000000002183,-8564.005000000001,77.79999999999927,-20075.393,153.79999999999927,1005.6290000000008,242.6999999999971,-8501.927
1654243200000,-1.456E-5,176.90000000000146,-10764.521,73.30000000000291,-11481.962,87.80000000000291,-5211.782999999999,-12.899999999997817,5228.368999999999
1654272000000,6.937E-5,-181.40000000000146,31043.901,-680.2000000000007,43363.66,-719.2999999999993,21931.593000000004,-937.4000000000015,-1914.387999999999
1654300800000,2.7E-6,1.4000000000014552,-13254.439999999999,73.60000000000218,-10360.970999999998,302.1000000000022,-10513.056,196.0,-12262.238
1654329600000,4.795E-5,-109.5,-1389.357,-139.5,-2185.1759999999995,-14.299999999999272,-6912.03,7.600000000002183,-1829.3459999999995
1654358400000,5.506E-5,22.19999999999709,-1479.5040000000008,-20.600000000002183,5552.947,-100.20000000000073,27739.759,149.5,4451.985000000001
1654387200000,4.358E-5,-146.5,-7311.071000000002,-197.3000000000029,-7453.119000000001,-8.80000000000291,-3024.559000000001,8.599999999998545,-4836.941000000001
1654416000000,2.828E-5,-169.59999999999854,-5063.218000000001,-92.70000000000073,-3122.4770000000008,-71.29999999999927,-2540.576000000001,-217.90000000000146,4338.550000000001
1654444800000,4.753E-5,-4.299999999999272,-3992.5660000000007,70.10000000000218,-5996.591000000002,16.80000000000291,10885.811999999998,327.8000000000029,29917.884000000002
1654473600000,6.036E-5,52.89999999999782,-34615.836,77.89999999999782,-30304.179000000004,-10.400000000001455,-28482.322000000004,-48.400000000001455,9991.599999999999
1654502400000,9.656E-5,922.4000000000015,-6453.092000000004,1325.0,-27100.506,1248.2999999999993,-32390.401,1367.7999999999993,-28014.267000000003
1654531200000,1.0E-4,183.70000000000073,-3127.440999999999,114.29999999999927,8503.791000000001,159.29999999999927,45224.151,251.90000000000146,14666.41
1654560000000,1.0E-4,-189.79999999999927,-17178.51,-62.79999999999927,-20508.842999999997,-50.29999999999927,-30212.034999999996,-168.5,93399.17799999999
1654588800000,-1.0234E-4,-1805.4000000000015,-66321.02699999999,-1813.7000000000007,-108509.88399999999,-1901.0,-120899.59599999999,-1792.1000000000022,-114023.53199999999
