open_time,open,high,low,close,volume,close_time,funding,open_interest,long_short_ratio,taker_buy_sell_ratio,btc_dom,spx,dxy,dji,vix,ndx,gold,transactions_count,fee_value,fee_average,input_count,input_value,mined_value,output_count,output_value
2022-06-01 00:00:00,31797.9,31986.1,31610.1,31624.0,37326.652,2022-06-01 03:59:59,1.0E-4,87997.425,1.2215874973628265,0.6948793612,1504.8,4143.9502,101.753,33073.39062,25.25,12694.36328,1836.55005,1189.962962962963,0.07373737777777777,5.634666666666667E-5,4773.777777777777,17089.414423812595,6.323737377777779,4213.592592592592,17095.664423812595
2022-06-01 04:00:00,31624.0,31666.0,31358.0,31479.6,43663.505,2022-06-01 07:59:59,1.0E-4,89160.945,1.1599894692828272,1.5822550621,1511.2,4143.9502,101.753,33073.39062,25.25,12694.36328,1836.84998,1333.4814814814815,0.07643048629629628,5.5674814814814805E-5,5196.259259259259,13901.616494642221,6.326430486296296,4353.148148148148,13907.866494642221
2022-06-01 08:00:00,31479.6,31700.0,31427.5,31596.0,44477.213,2022-06-01 11:59:59,1.0E-4,88214.678,1.2136757553193174,0.8201212499,1505.0,4143.9502,101.753,33073.39062,25.25,12694.36328,1833.81995,2691.076923076923,0.1910203223076923,7.377307692307692E-5,7040.461538461538,32321.009785137696,6.441020322307693,7724.615384615385,32327.259785137696
2022-06-01 12:00:00,31596.0,31888.0,30710.1,30733.7,146447.073,2022-06-01 15:59:59,1.0E-4,87554.513,1.2424773728853717,0.8887113427,1505.0,4143.9502,101.753,33073.39062,25.25,12694.36328,1829.84998,2520.0,0.18938011318181822,8.980136363636363E-5,6457.454545454545,28164.99422091227,6.439380113181818,8854.227272727272,28171.24422091227
2022-06-01 16:00:00,30733.6,30745.0,29874.4,30116.5,181741.873,2022-06-01 19:59:59,1.0E-4,87943.698,1.4247132685630108,0.6648380865,1512.8,4080.34009,102.626,32614.32031,27.43,12510.20312,1845.58997,2358.846153846154,0.1643588673076923,8.460115384615385E-5,6823.423076923077,35205.90568778731,6.414358867307692,7129.038461538462,35212.15568778731
2022-06-01 20:00:00,30116.5,30151.2,29300.0,29796.9,103336.44,2022-06-01 23:59:59,1.0E-4,87976.783,1.772860073351153,0.702296765,1524.0,4121.77979,102.508,32937.19141,25.49,12618.5498,1847.43005,2489.4285714285716,0.18264065285714284,8.310666666666665E-5,6975.809523809524,34830.408872169515,6.432640652857143,8053.476190476191,34836.658872169515
2022-06-02 00:00:00,29796.9,29899.9,29566.1,29718.4,41282.867,2022-06-02 03:59:59,-1.452E-5,83554.094,1.9633351249036057,1.5952595927,1518.6,4121.77979,102.508,32937.19141,25.49,12618.5498,1846.04004,1871.388888888889,0.146771745,7.648277777777779E-5,7351.277777777777,20246.862015888895,6.396771745,6861.722222222223,20253.112015888895
2022-06-02 04:00:00,29718.5,30113.5,29633.2,29952.8,37033.707,2022-06-02 07:59:59,-1.452E-5,82766.544,1.9857998719473156,0.9159931836,1521.5,4121.77979,102.508,32937.19141,25.49,12618.5498,1844.81006,1486.2083333333333,0.09616158208333332,6.152041666666666E-5,6329.666666666667,6148.203873346665,6.346161582083333,4915.75,6154.453873346665
2022-06-02 08:00:00,29952.8,30197.0,29845.2,30157.8,45168.227,2022-06-02 11:59:59,-1.452E-5,83846.271,2.0630722973896405,0.6838564142,1520.4,4121.77979,102.508,32937.19141,25.49,12618.5498,1851.28003,1696.24,0.10976572040000003,7.31996E-5,6477.36,10755.325194582801,6.3597657204,4642.36,10761.575194582801
2022-06-02 12:00:00,30157.8,30380.0,29579.9,30194.4,145003.095,2022-06-02 15:59:59,2.265E-5,84565.361,1.9578293771424875,1.2118927923,1515.7,4121.77979,102.508,32937.19141,25.49,12618.5498,1855.90002,2790.230769230769,0.25123889846153846,9.51423076923077E-5,6204.846153846154,40071.418879823075,6.501238898461539,11032.461538461539,40077.668879823075
2022-06-02 16:00:00,30194.4,30399.8,29948.6,30272.2,56471.275,2022-06-02 19:59:59,2.265E-5,86436.517,1.5531970019431849,0.6180783123,1529.2,4126.25977,101.892,32882.57031,24.76,12693.9873,1868.04004,2858.6,0.222559878,8.01645E-5,6695.1,27911.7836334445,6.472559878,9068.25,27918.0336334445
2022-06-02 20:00:00,30272.2,30750.0,30215.0,30437.1,45965.516,2022-06-02 23:59:59,2.107E-5,86901.821,1.4731424326571039,0.9916403748,1528.5,4164.6499,101.783,33135.92188,24.75,12852.78418,1869.76001,2387.84,0.1645854584,7.494E-5,7382.36,15720.257820795603,6.414585458399997,7078.96,15726.507820795603
2022-06-03 00:00:00,30437.1,30693.2,30330.4,30510.5,37266.905,2022-06-03 03:59:59,2.107E-5,84367.169,1.549510090807831,1.4015368837,1523.9,4164.6499,101.783,33135.92188,24.75,12852.78418,1870.0,1571.25,0.10778337950000001,6.98325E-5,6433.05,9524.8066690065,6.3577833795,6054.4,9531.0566690065
2022-06-03 04:00:00,30510.4,30545.1,30256.9,30424.3,31337.681,2022-06-03 07:59:59,-3.378E-5,85239.127,1.5148504060019257,1.8694068272,1530.6,4164.6499,101.783,33135.92188,24.75,12852.78418,1868.94995,1184.4285714285713,0.07269697107142858,5.589500000000001E-5,3920.3928571428573,8489.69160579036,6.322696971071428,3977.0,8495.94160579036
2022-06-03 08:00:00,30424.2,30520.0,29653.4,29744.0,89532.065,2022-06-03 11:59:59,-3.378E-5,86321.386,1.388564464530544,1.6756929914,1538.6,4164.6499,101.783,33135.92188,24.75,12852.78418,1864.73999,2014.304347826087,0.1306813356521739,6.517391304347825E-5,6272.173913043478,14645.582080343915,6.380681335652173,5700.0,14651.832080343915
2022-06-03 12:00:00,29744.0,29880.0,29220.0,29486.7,123783.417,2022-06-03 15:59:59,-1.456E-5,85429.374,1.581505287940506,0.6484460445,1554.7,4164.6499,101.783,33135.92188,24.75,12852.78418,1863.98999,1924.2142857142858,0.13176362964285715,6.482321428571428E-5,5672.857142857143,15811.896748620356,6.381763629642857,6852.892857142857,15818.146748620356
2022-06-03 16:00:00,29486.8,29677.0,29381.6,29560.5,41404.948,2022-06-03 19:59:59,-1.456E-5,84573.415,1.9924361144194405,1.0415506042,1546.6,4107.1499,102.223,32901.78906,25.46,12545.22754,1851.93994,2219.9565217391305,0.16562716347826087,7.254869565217391E-5,6110.173913043478,19332.076686728262,6.41562716347826,7153.913043478261,19338.326686728262
2022-06-03 20:00:00,29560.4,29878.1,29545.4,29682.8,33785.361,2022-06-03 23:59:59,6.937E-5,84551.084,2.2105378704720087,1.4783057285,1550.2,4105.27979,102.147,32870.80078,25.32,12529.44727,1850.85999,2460.095238095238,0.16179060857142857,6.869714285714283E-5,7210.190476190476,17386.65140618095,6.411790608571427,7953.761904761905,17392.90140618095
2022-06-04 00:00:00,29682.8,29750.9,29465.0,29543.2,28745.555,2022-06-04 03:59:59,6.937E-5,83715.47,2.2405714813276094,0.5972278772,1543.2,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1651.9411764705883,0.10780418588235295,6.237529411764705E-5,6115.823529411765,11965.506883545882,6.357804185882352,6119.764705882353,11971.756883545882
2022-06-04 04:00:00,29543.3,29732.1,29529.7,29690.5,21037.706,2022-06-04 07:59:59,2.7E-6,83961.698,2.1384714996985865,1.3660954941,1558.4,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1577.8333333333333,0.09928363722222223,5.9564444444444444E-5,5072.777777777777,9592.448458513889,6.349283637222222,5816.611111111111,9598.698458513889
2022-06-04 08:00:00,29690.4,29794.1,29575.0,29669.7,24996.716,2022-06-04 11:59:59,4.795E-5,84587.961,2.161278871114464,2.7889825169,1545.5,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1190.774193548387,0.05814718451612903,4.661516129032257E-5,3495.9032258064517,5339.783655713225,6.3081471845161285,3519.032258064516,5346.033655713225
2022-06-04 12:00:00,29669.8,29988.0,29456.0,29839.9,59768.926,2022-06-04 15:59:59,4.795E-5,84670.886,2.086557039199691,1.8440154606,1550.3,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1759.75,0.10758697750000001,5.986791666666666E-5,5095.041666666667,15759.561633207915,6.3575869775,6125.5,15765.811633207915
2022-06-04 16:00:00,29839.9,29844.9,29592.4,29642.6,28069.119,2022-06-04 19:59:59,4.795E-5,83037.267,2.056706768848739,1.5656168033,1544.9,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,2256.65,0.13528753500000004,6.62575E-5,6824.5,9528.0602012215,6.385287535000002,7568.0,9534.3102012215
2022-06-04 20:00:00,29642.6,29968.7,29615.4,29848.4,24902.512,2022-06-04 23:59:59,5.506E-5,82647.767,2.0783218291630714,1.6656152724,1542.0,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1305.655172413793,0.06430630310344827,4.5270344827586216E-5,3827.344827586207,7224.536330789655,6.314306303103449,4302.724137931034,7230.786330789655
2022-06-05 00:00:00,29848.5,29884.9,29663.0,29756.2,20643.09,2022-06-05 03:59:59,5.506E-5,82562.405,2.0107979815258297,1.2728960953,1529.5,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1064.08,0.0503767356,4.3329600000000006E-5,3212.6,6321.4814608116,6.3003767355999996,4097.12,6327.7314608116
2022-06-05 04:00:00,29755.8,29809.7,29630.3,29630.6,20043.255,2022-06-05 07:59:59,4.358E-5,82536.823,2.0130515848353014,1.1263458326,1537.4,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1280.6842105263158,0.07171419052631578,5.523368421052633E-5,4508.1578947368425,5640.369450751053,6.321714190526316,4868.473684210527,5646.619450751053
2022-06-05 08:00:00,29630.6,29733.1,29524.0,29700.7,30390.842,2022-06-05 11:59:59,4.358E-5,83310.637,2.0098127437117026,0.7465823382,1531.6,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1101.1724137931035,0.052206810689655166,4.564241379310345E-5,3645.655172413793,6643.189775288621,6.302206810689656,3056.9310344827586,6649.439775288621
2022-06-05 12:00:00,29700.7,29975.0,29611.3,29958.3,39272.629,2022-06-05 15:59:59,2.828E-5,82909.649,1.9868931027297354,1.6886357032,1533.2,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1922.3809523809523,0.09453515904761904,5.211380952380951E-5,5587.142857142857,20866.821793068095,6.344535159047619,7345.809523809524,20873.071793068095
2022-06-05 16:00:00,29958.4,30250.0,29746.4,30036.3,59603.34,2022-06-05 19:59:59,4.753E-5,82795.925,1.7796512521124597,1.6869434105,1530.0,4105.27979,102.147,32870.80078,25.32,12529.44727,1851.47998,1427.8709677419354,0.06480735677419355,4.321096774193548E-5,4456.967741935484,10834.460541525807,6.314807356774195,4497.193548387097,10840.710541525807
