open_time,open,high,low,close,volume,close_time,funding,open_interest,long_short_ratio,taker_buy_sell_ratio,btc_dom,spx,dxy,dji,vix,ndx,gold
2022-06-01 00:00:00,31797.9,31986.1,31680.0,31925.5,13588.888,2022-06-01 00:59:59,1.0E-4,87997.425,1.2215874973628265,0.6948793612,1504.8,4143.9502,101.753,33073.39062,25.25,12694.36328,1836.55005
2022-06-01 01:00:00,31925.5,31938.6,31825.7,31914.9,5821.94,2022-06-01 01:59:59,1.0E-4,88677.039,1.2083380227342155,1.125692223,1501.9,4143.9502,101.753,33073.39062,25.25,12694.36328,1834.63
2022-06-01 02:00:00,31914.9,31915.0,31710.0,31794.1,9097.811,2022-06-01 02:59:59,1.0E-4,88572.119,1.2061201384127187,1.3270844041,1506.1,4143.9502,101.753,33073.39062,25.25,12694.36328,1835.05005
2022-06-01 03:00:00,31794.2,31799.7,31610.1,31624.0,8818.013,2022-06-01 03:59:59,1.0E-4,88125.912,1.193474699098872,1.089584404,1509.5,4143.9502,101.753,33073.39062,25.25,12694.36328,1837.16003
2022-06-01 04:00:00,31624.0,31666.0,31358.0,31556.4,18360.186,2022-06-01 04:59:59,1.0E-4,89160.945,1.1599894692828272,1.5822550621,1511.2,4143.9502,101.753,33073.39062,25.25,12694.36328,1836.84998
2022-06-01 05:00:00,31556.5,31624.9,31435.0,31612.9,8112.276,2022-06-01 05:59:59,1.0E-4,88640.042,1.2010068031587242,0.7041500444,1503.3,4143.9502,101.753,33073.39062,25.25,12694.36328,1833.51001
2022-06-01 06:00:00,31612.8,31664.8,31553.6,31575.8,7130.73,2022-06-01 06:59:59,1.0E-4,88847.649,1.2040009602304553,1.1050612379,1507.7,4143.9502,101.753,33073.39062,25.25,12694.36328,1832.59998
2022-06-01 07:00:00,31575.8,31633.3,31461.0,31479.6,10060.313,2022-06-01 07:59:59,1.0E-4,88352.86,1.2164297251051446,0.7862260915,1503.0,4143.9502,101.753,33073.39062,25.25,12694.36328,1833.59998
2022-06-01 08:00:00,31479.6,31634.6,31436.0,31605.6,9502.609,2022-06-01 08:59:59,1.0E-4,88214.678,1.2136757553193174,0.8201212499,1505.0,4143.9502,101.753,33073.39062,25.25,12694.36328,1833.81995
2022-06-01 09:00:00,31605.7,31700.0,31595.8,31680.1,7450.303,2022-06-01 09:59:59,1.0E-4,88534.442,1.217552864858056,1.081599511,1506.6,4143.9502,101.753,33073.39062,25.25,12694.36328,1830.17004
2022-06-01 10:00:00,31680.1,31698.1,31519.0,31538.6,10141.802,2022-06-01 10:59:59,1.0E-4,89202.28,1.2299297164968808,1.1769258637,1501.0,4143.9502,101.753,33073.39062,25.25,12694.36328,1831.62
2022-06-01 11:00:00,31538.5,31653.0,31427.5,31596.0,17382.499,2022-06-01 11:59:59,1.0E-4,88560.284,1.2316377935347347,1.4851402532,1501.5,4143.9502,101.753,33073.39062,25.25,12694.36328,1832.17004
2022-06-01 12:00:00,31596.0,31826.7,31515.4,31709.2,17834.999,2022-06-01 12:59:59,1.0E-4,87554.513,1.2424773728853717,0.8887113427,1505.0,4143.9502,101.753,33073.39062,25.25,12694.36328,1829.84998
2022-06-01 13:00:00,31709.2,31888.0,31634.4,31719.4,22789.15,2022-06-01 13:59:59,1.0E-4,87659.201,1.2327445025678534,0.9823746355,1501.5,4143.9502,101.753,33073.39062,25.25,12694.36328,1844.64001
2022-06-01 14:00:00,31719.5,31802.8,30920.0,31160.5,57636.043,2022-06-01 14:59:59,1.0E-4,88023.475,1.2369237097743886,1.0346400318,1495.4,4152.87012,102.047,33079.94141,25.64,12814.71484,1845.37
2022-06-01 15:00:00,31160.4,31220.0,30710.1,30733.7,48186.881,2022-06-01 15:59:59,1.0E-4,87363.016,1.3355892608688185,0.9823093628,1507.5,4112.00977,102.415,32821.14844,26.35,12642.14844,1843.47998
2022-06-01 16:00:00,30733.6,30745.0,30273.8,30409.7,59031.571,2022-06-01 16:59:59,1.0E-4,87943.698,1.4247132685630108,0.6648380865,1512.8,4080.34009,102.626,32614.32031,27.43,12510.20312,1845.58997
2022-06-01 17:00:00,30409.6,30422.6,29874.4,30163.2,63736.18,2022-06-01 17:59:59,1.0E-4,90112.017,1.5580998383845721,1.2246181579,1512.0,4083.43994,102.64,32644.51953,27.51,12493.89355,1847.63
2022-06-01 18:00:00,30163.3,30440.0,30108.6,30165.4,35768.636,2022-06-01 18:59:59,1.0E-4,87380.598,1.6066587810979038,1.3888672277,1510.1,4102.85986,102.525,32789.64844,26.56,12549.98438,1847.93994
2022-06-01 19:00:00,30165.3,30339.2,30000.0,30116.5,23205.486,2022-06-01 19:59:59,1.0E-4,88073.11,1.709185548071035,0.5215967238,1528.9,4115.60986,102.498,32873.55859,26.08,12609.03418,1848.87
