calc_time,funding_interval_hours,last_funding_rate
1670371200000,8,0.00007887
1670400000000,8,0.00000658
1670428800000,8,-0.00001492
1670457600006,8,0.00001183
1670486400000,8,0.00002152
1670515200014,8,0.00000167
1670544000017,8,0.00001178
1670572800005,8,0.00004007
1670601600000,8,0.00003198
1670630400009,8,-0.00001669
1670659200010,8,-0.00000687
1670688000001,8,0.00001711
1670716800011,8,0.00000929
1670745600007,8,0.00000873
1670774400011,8,0.00000692
1670803200000,8,0.00002406
1670832000004,8,0.00002638
1670860800000,8,-0.00001670
1670889600000,8,0.00003003
1670918400018,8,0.00001971
1670947200011,8,0.00010000
1670976000010,8,0.00010000
1671004800015,8,0.00010000
1671033600004,8,0.00010000
1671062400000,8,0.00010000
1671091200023,8,0.00010000
1671120000010,8,0.00005180
1671148800016,8,0.00004842
1671177600011,8,0.00005706
1671206400001,8,-0.00001987
1671235200001,8,0.00002013
1671264000011,8,0.00007810
1671292800011,8,0.00009707
1671321600008,8,0.00006274
1671350400001,8,0.00006828
1671379200012,8,-0.00000647
1671408000000,8,0.00006468
1671436800000,8,0.00003493
1671465600000,8,0.00004496
1671494400005,8,0.00005611
1671523200016,8,-1.2E-7
1671552000000,8,0.00003401
1671580800007,8,0.00003778
1671609600012,8,0.00007742
1671638400017,8,0.00007582
1671667200004,8,0.00002918
1671696000000,8,0.00008167
1671724800001,8,0.00007198
1671753600018,8,0.00010000
1671782400000,8,0.00010000
1671811200000,8,0.00008903
1671840000001,8,0.00010000
1671868800007,8,0.00004748
1671897600008,8,0.00006222
1671926400000,8,0.00000521
1671955200013,8,0.00001855
1671984000000,8,0.00003060
1672012800001,8,0.00003319
1672041600000,8,-0.00005064
1672070400005,8,0.00002871
1672099200005,8,0.00008655
1672128000010,8,0.00001102
1672156800006,8,0.00001951
1672185600010,8,0.00004252
1672214400010,8,0.00009764
1672243200010,8,0.00002111
1672272000011,8,0.00009985
1672300800000,8,0.00008532
1672329600008,8,0.00010000
1672358400000,8,0.00010000
1672387200000,8,0.00007132
1672416000000,8,0.00010000
1672444800014,8,0.00010000
1672473600000,8,0.00010000
1672502400000,8,0.00010000
1672531200000,8,0.00010000
1672560000008,8,0.00010000
1672588800000,8,0.00000691
1672617600000,8,-0.00001488
1672646400008,8,-0.00004356
1672675200015,8,0.00002670
1672704000003,8,0.00010000
1672732800018,8,0.00008977
1672761600000,8,0.00003322
1672790400000,8,0.00006489
1672819200016,8,0.00003388
1672848000011,8,0.00004931
1672876800009,8,0.00005417
1672905600011,8,0.00004436
1672934400000,8,0.00007264
1672963200005,8,0.00005587
1672992000001,8,0.00006591
1673020800000,8,0.00008658
1673049600006,8,0.00002508
1673078400017,8,0.00000671
1673107200000,8,0.00010000
1673136000015,8,0.00005657
1673164800000,8,0.00010000
1673193600010,8,0.00007452
1673222400003,8,0.00005796
1673251200000,8,-0.00000666
1673280000006,8,0.00000905
1673308800003,8,0.00002417
1673337600021,8,0.00009685
1673366400000,8,0.00003129
1673395200011,8,0.00002761
1673424000006,8,0.00002477
1673452800004,8,-0.00000211
1673481600000,8,0.00007549
1673510400000,8,0.00010000
1673539200000,8,0.00010000
1673568000004,8,0.00010000
1673596800000,8,0.00010000
1673625600018,8,0.00007160
1673654400000,8,0.00008746
1673683200001,8,0.00045847
1673712000000,8,0.00010000
1673740800010,8,0.00013712
1673769600002,8,0.00012434
1673798400000,8,0.00019892
1673827200010,8,0.00010000
1673856000007,8,0.00010000
1673884800000,8,0.00010000
1673913600004,8,0.00010000
1673942400005,8,0.00010000
1673971200001,8,0.00010000
1674000000008,8,0.00010000
1674028800009,8,0.00010000
1674057600017,8,0.00010000
1674086400000,8,0.00010000
1674115200015,8,0.00010000
1674144000012,8,0.00010000
1674172800000,8,0.00010000
1674201600000,8,0.00010000
1674230400000,8,0.00010000
1674259200013,8,0.00010000
1674288000001,8,0.00010000
1674316800016,8,0.00010000
1674345600000,8,0.00010000
1674374400000,8,0.00010000
1674403200023,8,0.00010000
1674432000014,8,0.00010000
1674460800014,8,0.00010000
1674489600016,8,0.00010000
1674518400008,8,0.00010000
1674547200008,8,0.00010000
1674576000000,8,0.00010000
1674604800012,8,0.00010000
1674633600000,8,0.00010000
1674662400010,8,0.00010000
1674691200010,8,0.00010000
1674720000003,8,0.00010000
1674748800020,8,0.00010000
1674777600008,8,0.00010000
1674806400000,8,0.00009541
1674835200000,8,0.00010000
1674864000009,8,0.00010000
1674892800018,8,0.00010000
1674921600005,8,0.00010000
1674950400011,8,0.00010000
1674979200000,8,0.00010000
1675008000008,8,0.00010000
1675036800001,8,0.00010000
1675065600000,8,0.00010000
1675094400000,8,0.00010000
1675123200005,8,0.00010000
1675152000000,8,0.00010000
1675180800007,8,0.00010000
1675209600013,8,0.00010000
1675238400000,8,0.00010000
1675267200012,8,0.00010000
1675296000004,8,0.00010000
1675324800023,8,0.00010000
1675353600003,8,0.00010000
1675382400010,8,0.00010000
1675411200000,8,0.00010000
1675440000000,8,0.00010000
1675468800010,8,0.00010000
1675497600000,8,0.00010000
1675526400000,8,0.00010000
1675555200016,8,0.00010000
1675584000009,8,0.00010000
1675612800018,8,0.00010000
1675641600001,8,0.00010000
1675670400000,8,0.00010000
1675699200012,8,0.00010000
1675728000004,8,0.00010000
1675756800011,8,0.00010000
1675785600018,8,0.00010000
1675814400009,8,0.00010000
1675843200010,8,0.00010000
1675872000000,8,0.00010000
1675900800014,8,0.00010000
1675929600006,8,0.00010000
1675958400001,8,0.00010000
1675987200012,8,0.00010000
1676016000005,8,0.00010000
1676044800020,8,0.00010000
1676073600007,8,0.00007684
1676102400002,8,0.00005572
1676131200021,8,0.00005241
1676160000004,8,0.00005343
1676188800000,8,0.00010000
1676217600002,8,0.00002270
1676246400006,8,0.00002074
1676275200008,8,0.00006323
1676304000002,8,0.00010000
1676332800013,8,0.00010000
1676361600014,8,0.00010000
1676390400016,8,0.00008887
1676419200011,8,0.00002377
1676448000000,8,0.00002630
1676476800005,8,0.00009071
1676505600019,8,0.00010000
1676534400000,8,0.00010000
