datetime;open;high;low;close
2024-02-28 19:45:00;2031.79004;2032.42004;2031.44995;2032.18994
2024-02-28 19:30:00;2031.98999;2031.98999;2031.13000;2031.79004
2024-02-28 19:15:00;2031.27002;2032.17004;2031.06995;2032.03003
2024-02-28 19:00:00;2031.62000;2031.76001;2030.89001;2031.28003
2024-02-28 18:45:00;2032.22998;2032.23999;2031.52002;2031.60999
2024-02-28 18:30:00;2033.42004;2033.84998;2032.14001;2032.21997
2024-02-28 18:15:00;2033.53003;2033.88000;2032.97998;2033.41003
2024-02-28 18:00:00;2033.88000;2034.89001;2033.42004;2033.55005
2024-02-28 17:45:00;2033.25000;2034.04004;2032.34998;2033.87000
2024-02-28 17:30:00;2033.72998;2033.73999;2032.51001;2033.26001
2024-02-28 17:15:00;2034.96997;2035.06995;2033.63000;2033.70996
2024-02-28 17:00:00;2033.67004;2035.67004;2033.62000;2034.96997
2024-02-28 16:45:00;2032.53003;2033.84998;2032.31006;2033.67004
2024-02-28 16:30:00;2033.70996;2033.77002;2032.31995;2032.54004
2024-02-28 16:15:00;2032.42004;2034.15002;2032.40002;2033.64001
2024-02-28 16:00:00;2031.89001;2033.32996;2031.81995;2032.40002
2024-02-28 15:45:00;2032.18005;2032.68005;2031.73999;2031.89001
2024-02-28 15:30:00;2033.15002;2034.08997;2032.08997;2032.14001
2024-02-28 15:15:00;2032.55005;2033.34998;2030.55005;2033.16003
2024-02-28 15:00:00;2031.95996;2033.47998;2031.33997;2032.53003
2024-02-28 14:45:00;2032.92004;2034.05005;2031.18994;2031.94995
2024-02-28 14:30:00;2034.02002;2034.08997;2032.75000;2032.91003
2024-02-28 14:15:00;2034.68005;2035.30005;2033.68005;2034.01001
2024-02-28 14:00:00;2035.87000;2037.91003;2034.68005;2034.68005
2024-02-28 13:45:00;2034.59998;2036.14001;2034.40002;2035.85999
2024-02-28 13:30:00;2033.40002;2036.08997;2032.30005;2034.59998
2024-02-28 13:15:00;2032.38000;2034.26001;2032.21997;2033.38000
2024-02-28 13:00:00;2029.62000;2032.60999;2029.13000;2032.38000
2024-02-28 12:45:00;2029.63000;2030.47998;2029.34998;2029.66003
2024-02-28 12:30:00;2029.16003;2029.82996;2028.94995;2029.64001
2024-02-28 12:15:00;2029.30005;2029.35999;2028.51001;2029.16003
2024-02-28 12:00:00;2027.35999;2029.31006;2027.01001;2029.21997
2024-02-28 11:45:00;2027.67004;2027.82996;2026.92004;2027.38000
2024-02-28 11:30:00;2027.37000;2027.95996;2027.18994;2027.58997
2024-02-28 11:15:00;2027.19995;2027.93994;2026.81995;2027.40002
2024-02-28 11:00:00;2027.31995;2027.93005;2027.13000;2027.15002
2024-02-28 10:45:00;2027.12000;2027.69995;2026.83997;2027.41003
2024-02-28 10:30:00;2025.44995;2027.19995;2025.20996;2027.13000
2024-02-28 10:15:00;2025.38000;2025.94995;2025.01001;2025.47998
2024-02-28 10:00:00;2024.93005;2026.18005;2024.56995;2025.40002
2024-02-28 09:45:00;2026.15002;2026.72998;2024.93994;2024.95996
2024-02-28 09:30:00;2025.78003;2026.27002;2025.06006;2026.09998
