datetime;open;high;low;close;volume
2024-02-29 20:45:00;5092.41992;5104.99023;5092.41992;5097.54004;260324596
2024-02-29 20:30:00;5089.54004;5095.33008;5089.47021;5092.39014;96569491
2024-02-29 20:15:00;5085.18018;5089.81006;5084.89990;5089.60986;71185965
2024-02-29 20:00:00;5085.31982;5087.33008;5084.81006;5085.14014;58704054
2024-02-29 19:45:00;5082.20020;5085.29004;5080.35010;5085.29004;55325515
2024-02-29 19:30:00;5085.12988;5086.45020;5082.18994;5082.31982;51578182
2024-02-29 19:15:00;5087.85986;5090.93994;5083.20996;5085.08008;54664543
2024-02-29 19:00:00;5086.45020;5088.08008;5084.93018;5087.81006;51266402
2024-02-29 18:45:00;5084.18994;5087.08984;5083.60986;5086.45996;43597074
2024-02-29 18:30:00;5085.93994;5086.83008;5083.33984;5084.16016;45746344
2024-02-29 18:15:00;5085.04004;5086.68018;5082.54004;5085.91016;51392580
2024-02-29 18:00:00;5081.87988;5085.77002;5081.79980;5085.00977;51288429
2024-02-29 17:45:00;5076.91992;5082.41992;5075.52002;5081.93994;49184867
2024-02-29 17:30:00;5073.56006;5077.97021;5073.50977;5076.97021;49680187
2024-02-29 17:15:00;5076.58008;5078.72998;5073.43018;5073.49023;50438812
2024-02-29 17:00:00;5074.70996;5078.66992;5073.91992;5076.60010;49296443
2024-02-29 16:45:00;5068.52979;5075.58008;5066.29004;5074.70996;51580337
2024-02-29 16:30:00;5079.91016;5079.91016;5061.89014;5068.47998;67493890
2024-02-29 16:15:00;5084.22021;5085.20996;5079.91992;5079.97021;57268965
2024-02-29 16:00:00;5082.39014;5084.33984;5077.68018;5084.33984;62574431
2024-02-29 15:45:00;5080.68018;5085.77979;5078.43018;5082.37988;70845197
2024-02-29 15:30:00;5085.24023;5086.37012;5080.02002;5080.64014;78571239
2024-02-29 15:15:00;5078.08008;5085.99023;5077.31006;5085.35010;78236927
2024-02-29 15:00:00;5093.39014;5095.29004;5077.08984;5078.37988;97887661
2024-02-29 14:45:00;5092.10986;5094.47021;5090.52979;5092.60986;98666492
2024-02-29 14:30:00;5085.35986;5096.35010;5085.35986;5092.14990;157620158
2024-02-28 20:45:00;5067.18018;5070.27002;5062.60986;5070.27002;207418924
2024-02-28 20:30:00;5070.49023;5070.72021;5066.99023;5067.16992;79809764
2024-02-28 20:15:00;5065.49023;5070.72021;5064.91992;5070.52979;62241164
2024-02-28 20:00:00;5067.43018;5071.33008;5064.58008;5065.49023;55689764
2024-02-28 19:45:00;5063.37012;5067.54004;5061.10986;5067.45996;51201534
2024-02-28 19:30:00;5066.79980;5066.79980;5062.04980;5063.35010;53170396
2024-02-28 19:15:00;5066.06006;5070.04980;5064.75977;5066.79004;48577566
2024-02-28 19:00:00;5075.08008;5075.83008;5065.62012;5066.02979;52534896
2024-02-28 18:45:00;5074.64990;5075.29980;5072.58008;5075.06006;42826127
2024-02-28 18:30:00;5073.68018;5076.60010;5073.68018;5074.68018;44383175
2024-02-28 18:15:00;5067.99023;5073.99023;5067.99023;5073.75000;41375902
2024-02-28 18:00:00;5067.75977;5068.25000;5064.10986;5067.95996;42072522
2024-02-28 17:45:00;5066.87988;5069.20020;5066.43018;5067.77979;43066070
2024-02-28 17:30:00;5069.27979;5069.31982;5063.58984;5066.83984;45741558
2024-02-28 17:15:00;5073.10010;5073.10010;5067.93018;5069.29004;45914314
2024-02-28 17:00:00;5074.68994;5075.47021;5072.60986;5073.04004;49482308
2024-02-28 16:45:00;5075.81982;5076.56982;5074.29980;5074.70996;47873290
2024-02-28 16:30:00;5073.79004;5075.79004;5071.20996;5075.72998;60510248
2024-02-28 16:15:00;5073.99023;5075.99023;5072.70020;5073.75000;60125969
2024-02-28 16:00:00;5073.75977;5077.37012;5073.27002;5074.10010;61469855
2024-02-28 15:45:00;5070.25977;5073.81006;5068.79980;5073.81006;67325856
2024-02-28 15:30:00;5065.20996;5070.56006;5064.79980;5070.27979;63766632
2024-02-28 15:15:00;5066.45996;5067.95996;5062.70996;5065.31006;70870101
2024-02-28 15:00:00;5062.47021;5068.52979;5062.04980;5066.49023;84852335
2024-02-28 14:45:00;5065.20996;5066.47998;5059.04004;5062.33008;89394047
2024-02-28 14:30:00;5067.20020;5067.20020;5058.35010;5065.14014;129445486
2024-02-27 20:45:00;5076.60010;5080.68994;5075.58984;5079.47998;204150400
2024-02-27 20:30:00;5076.95996;5076.97998;5073.83008;5076.58008;84480474
2024-02-27 20:15:00;5075.45996;5077.93994;5071.89014;5076.97021;65693343
2024-02-27 20:00:00;5076.08008;5076.75977;5074.25000;5075.50000;57237821
2024-02-27 19:45:00;5072.83984;5076.33008;5070.60986;5076.06006;54987398
2024-02-27 19:30:00;5072.60986;5075.06006;5072.60986;5072.87012;56957018
2024-02-27 19:15:00;5069.41016;5074.29004;5069.16016;5072.54980;54337025
2024-02-27 19:00:00;5067.25977;5069.35986;5066.77002;5069.35986;50313547
2024-02-27 18:45:00;5064.35986;5067.91016;5063.24023;5067.27002;47112873
2024-02-27 18:30:00;5061.93018;5064.68018;5061.04004;5064.31982;42657098
2024-02-27 18:15:00;5064.06006;5066.14990;5061.77979;5061.95996;46340444
2024-02-27 18:00:00;5059.81982;5065.35010;5057.29004;5064.16992;53384848
2024-02-27 17:45:00;5062.74023;5063.87988;5059.35010;5059.81006;51491380
2024-02-27 17:30:00;5064.93018;5066.93994;5061.29004;5062.77002;46527423
2024-02-27 17:15:00;5067.70020;5068.08008;5062.75000;5065.00000;47946314
