datetime;open;high;low;close;volume
2024-02-29 20:45:00;18016.47461;18067.52930;18016.44141;18038.92773;83516929
2024-02-29 20:30:00;18008.95117;18027.05469;18006.46484;18016.48438;29741910
2024-02-29 20:15:00;17987.58789;18010.39258;17986.79102;18009.00391;22712237
2024-02-29 20:00:00;17996.70312;18002.38281;17987.54688;17987.54688;18019383
2024-02-29 19:45:00;17980.85742;17995.45117;17972.96094;17995.45117;17057354
2024-02-29 19:30:00;17987.14453;17994.41797;17980.47656;17980.96094;16807673
2024-02-29 19:15:00;18005.31445;18016.12109;17980.94336;17987.13281;19538432
2024-02-29 19:00:00;17998.68555;18005.21484;17989.33008;18005.21484;16577077
2024-02-29 18:45:00;17987.62109;18001.14844;17985.85352;17998.11133;14741719
2024-02-29 18:30:00;18005.16797;18008.17773;17984.99805;17987.60938;16919882
2024-02-29 18:15:00;17997.30859;18006.25586;17988.10156;18004.62695;463689002
2024-02-29 18:00:00;17980.43750;18001.21094;17979.70117;17998.06055;20207271
2024-02-29 17:45:00;17949.12695;17982.08984;17943.04688;17979.85547;17736530
2024-02-29 17:30:00;17934.36914;17954.23438;17934.36914;17949.43750;19090819
2024-02-29 17:15:00;17954.84375;17959.00781;17933.91992;17933.91992;17843935
2024-02-29 17:00:00;17942.82422;17959.29492;17940.27539;17955.15430;18077594
2024-02-29 16:45:00;17895.27930;17944.66211;17889.39062;17944.66211;19833518
2024-02-29 16:30:00;17937.00000;17939.80469;17866.42578;17897.83789;27712205
2024-02-29 16:15:00;17968.26562;17971.54102;17942.56250;17942.56250;298521481
2024-02-29 16:00:00;17967.10547;17967.40234;17935.91992;17967.38086;24268571
2024-02-29 15:45:00;17969.68945;17992.75195;17955.17773;17965.75391;30591675
2024-02-29 15:30:00;17980.41602;17996.45312;17969.10156;17970.01953;30425344
2024-02-29 15:15:00;17949.22656;17989.61328;17949.22656;17979.08008;32143027
2024-02-29 15:00:00;18014.04883;18028.06836;17947.98047;17954.57812;41319846
2024-02-29 14:45:00;18008.15430;18024.53320;17996.54297;18011.49023;42392047
2024-02-29 14:30:00;17999.08203;18027.51172;17990.98047;18002.10547;54585567
2024-02-28 20:45:00;17873.00977;17876.80664;17852.51953;17876.80664;55244214
2024-02-28 20:30:00;17883.87500;17888.76758;17872.83789;17872.92773;22864808
2024-02-28 20:15:00;17860.69922;17885.31250;17860.45117;17885.08398;18873210
2024-02-28 20:00:00;17873.92969;17884.86133;17859.12891;17861.94727;18469183
2024-02-28 19:45:00;17853.59766;17872.60156;17846.76562;17872.60156;16528123
2024-02-28 19:30:00;17869.99805;17869.99805;17849.48047;17853.87109;17705548
2024-02-28 19:15:00;17873.79688;17882.48633;17868.57617;17870.32812;16282992
