datetime;open;high;low;close;volume
2024-02-29 20:45:00;38980.23828;39048.42969;38968.48047;38968.48047;58321152
2024-02-29 20:30:00;38957.07812;38999.23047;38956.66016;38980.07031;12098938
2024-02-29 20:15:00;38927.62109;38959.25000;38926.32031;38957.89844;8982189
2024-02-29 20:00:00;38928.08984;38946.78906;38927.32031;38927.51953;7185743
2024-02-29 19:45:00;38901.94922;38927.92969;38887.91016;38927.92969;7051594
2024-02-29 19:30:00;38916.50000;38929.85156;38900.14844;38902.39844;6602065
2024-02-29 19:15:00;38924.76953;38965.64844;38903.96094;38915.33984;7517592
2024-02-29 19:00:00;38917.01953;38938.44141;38914.64062;38923.80859;7139905
2024-02-29 18:45:00;38925.51172;38931.23828;38908.03125;38917.57031;6466630
2024-02-29 18:30:00;38922.55859;38929.73047;38915.26953;38925.44922;6106577
2024-02-29 18:15:00;38926.85156;38931.00000;38897.21875;38922.60938;6327014
2024-02-29 18:00:00;38923.53125;38931.46875;38908.19922;38926.78906;6647114
2024-02-29 17:45:00;38888.14844;38928.42188;38876.98047;38924.71094;6247998
2024-02-29 17:30:00;38861.76953;38891.48047;38861.57031;38888.71875;7831322
2024-02-29 17:15:00;38873.62109;38893.32031;38858.26172;38861.07031;6586903
2024-02-29 17:00:00;38871.85938;38899.44922;38858.80859;38873.58984;6244388
2024-02-29 16:45:00;38846.87109;38883.05859;38832.05078;38871.94922;7381373
2024-02-29 16:30:00;38946.10938;38946.10938;38809.28125;38846.17969;10489954
2024-02-29 16:15:00;38978.85156;38997.42969;38946.53125;38946.92188;7226823
2024-02-29 16:00:00;38934.64062;38979.57812;38919.41016;38979.57812;8515016
2024-02-29 15:45:00;38908.35156;38937.78125;38888.87891;38934.03125;9336338
2024-02-29 15:30:00;38938.69922;38946.80078;38902.01953;38908.51953;10850261
2024-02-29 15:15:00;38863.14844;38938.46875;38854.08984;38938.46875;11140928
2024-02-29 15:00:00;39001.71875;39011.67969;38859.10938;38866.55078;13142066
2024-02-29 14:45:00;39005.57031;39016.05859;38968.50000;38995.69141;14097735
2024-02-29 14:30:00;39013.75000;39074.12891;38966.71875;39006.50000;18029503
2024-02-28 20:45:00;38922.85938;38956.46094;38897.19922;38953.08984;28113699
2024-02-28 20:30:00;38928.80859;38935.21094;38919.17188;38921.80859;9683077
2024-02-28 20:15:00;38879.12891;38930.10938;38875.19141;38928.35938;7498127
2024-02-28 20:00:00;38887.01953;38912.30859;38861.64062;38879.03125;6426759
2024-02-28 19:45:00;38835.48047;38895.42188;38829.73828;38886.85156;6208265
2024-02-28 19:30:00;38851.64062;38851.64062;38822.58984;38835.69141;6310734
2024-02-28 19:15:00;38847.08984;38877.98047;38836.73047;38851.92188;5618735
2024-02-28 19:00:00;38922.03125;38926.44141;38843.64844;38847.05859;5961727
2024-02-28 18:45:00;38917.76953;38922.69922;38901.46875;38921.92969;5092074
2024-02-28 18:30:00;38920.03125;38938.92188;38917.16016;38918.44922;5402978
2024-02-28 18:15:00;38878.83984;38920.50000;38874.96875;38920.30078;5160522
2024-02-28 18:00:00;38872.32812;38881.66016;38856.33984;38878.57812;5796655
2024-02-28 17:45:00;38883.48828;38886.91016;38868.12109;38872.19922;6639004
2024-02-28 17:30:00;38899.01172;38899.89844;38863.10156;38884.00000;7246661
2024-02-28 17:15:00;38898.08984;38911.03906;38884.98828;38900.37891;7681264
2024-02-28 17:00:00;38895.28125;38910.01953;38885.73828;38896.05859;6745143
2024-02-28 16:45:00;38897.80859;38912.55078;38892.69141;38895.37891;5644906
2024-02-28 16:30:00;38901.73828;38908.96875;38864.92969;38898.07031;7258562
2024-02-28 16:15:00;38919.33984;38923.05859;38889.71094;38899.46094;6886359
2024-02-28 16:00:00;38903.26953;38941.69922;38899.42969;38919.75000;7688639
2024-02-28 15:45:00;38888.80859;38911.12109;38880.08984;38903.60156;8050648
2024-02-28 15:30:00;38837.48828;38900.26172;38833.87891;38888.89844;8382373
2024-02-28 15:15:00;38823.53906;38841.48828;38813.32812;38838.23828;9552573
2024-02-28 15:00:00;38780.28125;38830.39844;38774.42969;38822.73828;11711744
2024-02-28 14:45:00;38786.66016;38810.00000;38755.94922;38775.14062;11233331
2024-02-28 14:30:00;38938.07812;38938.07812;38741.67969;38785.73828;13532932
2024-02-27 20:45:00;38969.62891;38987.37891;38939.73828;38973.53125;30651433
