open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1654531200000,31529.70,31548.70,31053.00,31466.90,70328.152,1654545599999,2201555576.06314,692861,34758.493,1088241012.96744,0
1654545600000,31466.90,31596.00,31269.80,31361.20,36785.784,1654559999999,1156227883.89188,415576,19366.426,608783751.63745,0
1654560000000,31361.20,31373.90,29190.00,29547.50,207983.991,1654574399999,6228577793.26239,1676782,97656.993,2922977253.45988,0
1654574400000,29547.50,29615.80,29370.60,29569.00,44895.538,1654588799999,1324446234.35137,461770,20832.077,614636652.13993,0
1654588800000,29569.10,29720.00,29320.00,29504.50,53380.304,1654603199999,1577182546.40795,536908,25388.100,750287802.21247,0
1654603200000,29504.60,30050.00,29384.50,29876.00,96227.315,1654617599999,2859775706.99247,866705,49609.670,1474809401.75964,0
1654617600000,29876.00,31428.80,29730.00,31050.50,110428.800,1654631999999,3369862514.73371,941416,59262.874,1808576237.56180,0
1654632000000,31050.40,31599.00,30303.30,31118.10,178799.037,1654646399999,5578755280.43537,1491583,92100.471,2874562885.70364,0
1654646400000,31118.00,31325.00,29825.00,30006.00,134352.178,1654660799999,4114515408.34421,1037024,67186.201,2057547781.41988,0
1654660800000,30006.00,30689.50,29856.10,30547.90,81896.542,1654675199999,2485025698.64066,717132,41833.117,1269439120.95281,0
1654675200000,30547.90,30604.30,30321.00,30399.20,40885.219,1654689599999,1244990686.63971,407302,19679.110,599352058.03098,0
1654689600000,30399.20,30888.00,30031.60,30458.00,107853.755,1654703999999,3284328070.95382,946207,54203.292,1651098396.90105,0
1654704000000,30461.00,30536.60,29900.00,30127.60,62697.668,1654718399999,1895591350.08456,644858,30503.534,922480950.94692,0
1654718400000,30126.20,30515.80,30090.00,30192.50,28001.275,1654732799999,847803584.10331,315212,14533.449,440105953.43160,0
1654732800000,30192.60,30312.60,30055.30,30283.00,30853.227,1654747199999,931352339.50158,327291,15870.013,479125323.76602,0
1654747200000,30283.00,30479.70,30217.20,30477.30,28021.800,1654761599999,850211324.19134,281408,14373.457,436193134.35312,0
1654761600000,30477.40,30691.90,30256.70,30286.70,56673.429,1654775999999,1726826171.57356,493359,27225.892,829798571.18476,0
1654776000000,30286.70,30386.20,29914.50,30285.80,106526.459,1654790399999,3211789387.67528,881308,52863.075,1594222800.35969,0
1654790400000,30285.90,30456.20,29956.00,30003.80,47315.057,1654804799999,1430063368.46778,452003,22997.545,695368567.85844,0
1654804800000,30003.80,30244.20,29952.60,30093.30,37922.203,1654819199999,1140893630.58889,352875,18690.514,562379761.42319,0
1654819200000,30093.40,30374.10,29470.50,30102.00,75329.617,1654833599999,2255000859.33857,660637,36018.501,1078770365.22973,0
1654833600000,30102.00,30240.00,30025.30,30041.60,27697.396,1654847999999,833822815.34944,264766,14466.731,435571205.51584,0
1654848000000,30041.60,30105.70,29853.20,30005.50,43915.463,1654862399999,1316601561.57824,427730,22847.199,685072569.44360,0
1654862400000,30005.40,30177.40,29200.00,29438.20,167438.993,1654876799999,4948260197.18363,1378958,81079.390,2396538327.92976,0
1654876800000,29438.20,29470.20,28805.00,28970.50,95878.044,1654891199999,2785452871.45548,861098,44877.437,1303995105.71514,0
1654891200000,28970.60,29398.80,28953.10,29077.70,35669.146,1654905599999,1040314987.92742,372026,18316.116,534303474.75575,0
1654905600000,29077.70,29300.00,29033.70,29258.40,22825.746,1654919999999,666595216.06910,229296,11865.834,346556716.20980,0
1654920000000,29258.50,29427.90,29234.10,29309.00,22706.213,1654934399999,665644183.82841,235459,11055.729,324129533.51283,0
1654934400000,29309.00,29329.80,28550.00,28723.90,103243.737,1654948799999,2987668679.57932,881881,48752.900,1411290377.95370,0
1654948800000,28723.90,28865.40,28227.70,28392.30,129264.554,1654963199999,3689409538.60821,1160037,62093.759,1772593925.79494,0
1654963200000,28392.60,28786.90,28080.00,28581.00,76696.495,1654977599999,2181720034.95936,694058,38751.632,1102801553.91270,0
1654977600000,28581.10,28684.60,28238.00,28416.70,36631.069,1654991999999,1043107174.38579,397575,17734.159,505106720.41235,0
1654992000000,28416.60,28530.30,27244.90,27538.20,112863.926,1655006399999,3139753449.43665,964477,52536.692,1461894485.54142,0
1655006400000,27538.20,27673.40,27162.70,27629.40,69180.569,1655020799999,1896465308.63307,668127,34934.918,957950968.22996,0
