open_time,count,fee_value,fee_average,input_count,input_value,mined_value,output_count,output_value
2022-06-01 00:00:00,11518.0,0.70246906,6.0988805348150716E-5,55599.0,238831.48323918,81.95246906,37805.0,238912.73323918
2022-06-01 01:00:00,6717.0,0.32878805,4.894864522852464E-5,21271.0,34545.4151428,25.32878805,23778.0,34570.4151428
2022-06-01 02:00:00,5426.0,0.51837117,9.5534679321784E-5,19887.0,122231.5302017,19.26837117,26359.0,122250.2802017
2022-06-01 03:00:00,8468.0,0.44128092,5.211158715162967E-5,32135.0,65805.76085926,44.19128092,25825.0,65849.51085926
2022-06-01 04:00:00,8275.0,0.45854298,5.541304894259818E-5,29132.0,82141.74621809,44.20854298,38887.0,82185.49621809
2022-06-01 05:00:00,5961.0,0.27178856,4.559445730582117E-5,20323.0,35900.99253953,44.02178856,18200.0,35944.74253953
2022-06-01 06:00:00,9592.0,0.74563204,7.773478315262719E-5,36561.0,71529.65479348,31.99563204,27942.0,71560.90479348
2022-06-01 07:00:00,12176.0,0.58765955,4.8263760676741135E-5,54283.0,185771.25180424,50.58765955,32506.0,185821.25180424
2022-06-01 08:00:00,6020.0,0.6658152,1.106005315614618E-4,20780.0,43474.03262688,19.4158152,17777.0,43492.78262688
2022-06-01 09:00:00,3336.0,0.37338077,1.119246912470024E-4,6050.0,87299.0959081,6.62338077,11431.0,87305.3459081
2022-06-01 10:00:00,9600.0,0.5855891,6.099886458333333E-5,19819.0,108415.90289204,19.3355891,28698.0,108434.65289204
2022-06-01 11:00:00,16028.0,0.85847912,5.356121287746444E-5,44877.0,180984.09577977,38.35847912,42514.0,181021.59577977
2022-06-01 12:00:00,15134.0,1.18616934,7.83777811550152E-5,41875.0,236205.28144793,38.68616934,49998.0,236242.78144793
2022-06-01 13:00:00,10293.0,0.75392785,7.324665792286019E-5,26679.0,120529.69761568,25.75392785,34484.0,120554.69761568
2022-06-01 14:00:00,6915.0,0.69311945,1.0023419378163412E-4,16213.0,118589.56064684,19.44311945,24101.0,118608.31064684
2022-06-01 15:00:00,23098.0,1.53314585,6.637569703004589E-5,57297.0,144305.33314962,57.78314585,86210.0,144361.58314962
2022-06-01 16:00:00,16667.0,1.25131505,7.507740145197096E-5,48410.0,216864.44455963,45.00131505,51681.0,216908.19455963
2022-06-01 17:00:00,26927.0,1.26077196,4.68218501875441E-5,74820.0,241475.38017724,70.01077196,73799.0,241544.13017724
2022-06-01 18:00:00,8173.0,0.93508151,1.1441104979811574E-4,36085.0,100493.2022853,32.18508151,24780.0,100524.4522853
2022-06-01 19:00:00,9563.0,0.82616203,8.639151207779985E-5,18094.0,356520.5208603,19.57616203,35095.0,356539.2708603
2022-06-01 20:00:00,14563.0,1.10522448,7.589263750600838E-5,41818.0,171000.93513057,38.60522448,42239.0,171038.43513057
2022-06-01 21:00:00,9114.0,0.7738774,8.491084046521835E-5,18395.0,286367.80412262,19.5238774,33603.0,286386.55412262
2022-06-01 22:00:00,15005.0,1.146367,7.639900033322226E-5,41982.0,163031.64401957,38.646367,45896.0,163069.14401957
2022-06-01 23:00:00,13596.0,0.80998483,5.9575230214769046E-5,44297.0,111038.2030428,38.30998483,47385.0,111075.7030428
2022-06-02 00:00:00,9656.0,0.7227428,7.484908864954433E-5,35872.0,76504.1562579,31.9727428,34807.0,76535.4062579
2022-06-02 01:00:00,5600.0,0.32569446,5.815972500000001E-5,23927.0,62840.77679401,19.07569446,19648.0,62859.52679401
2022-06-02 02:00:00,8992.0,0.80634462,8.967355649466192E-5,26492.0,129427.91350863,25.80634462,33954.0,129452.91350863
2022-06-02 03:00:00,9437.0,0.78710953,8.340675320546784E-5,46032.0,95670.66972546,38.28710953,35102.0,95708.16972546
2022-06-02 04:00:00,7055.0,0.57320003,8.124734656272148E-5,26562.0,40032.577748,25.57320003,34749.0,40057.577748
2022-06-02 05:00:00,6094.0,0.429038,7.04033475549721E-5,40902.0,17576.09505353,31.679038,20340.0,17607.34505353
2022-06-02 06:00:00,12369.0,0.72855393,5.890160320155227E-5,48275.0,42210.61857526,56.97855393,34774.0,42266.86857526
2022-06-02 07:00:00,10151.0,0.57708601,5.685016353068664E-5,36173.0,47737.60158353,38.07708601,28115.0,47775.10158353
2022-06-02 08:00:00,11866.0,0.8520624,7.180704533962582E-5,44954.0,76895.36499993,57.1020624,31686.0,76951.61499993
2022-06-02 09:00:00,8237.0,0.51248156,6.221701590384849E-5,20893.0,58116.45406081,19.26248156,25682.0,58135.20406081
2022-06-02 10:00:00,12001.0,0.92974699,7.747245979501709E-5,59651.0,68349.7197143,44.67974699,31681.0,68393.4697143
2022-06-02 11:00:00,10302.0,0.44985206,4.3666478353717726E-5,36436.0,65521.59108953,37.94985206,27010.0,65559.09108953
2022-06-02 12:00:00,3145.0,0.23973474,7.622726232114468E-5,6251.0,39170.78202756,6.48973474,11255.0,39177.03202756
2022-06-02 13:00:00,10837.0,1.13206775,1.0446320476146536E-4,24746.0,289343.75540413,26.13206775,40590.0,289368.75540413
2022-06-02 14:00:00,5441.0,0.43826428,8.054848005881272E-5,9384.0,46560.65953601,12.93826428,32111.0,46573.15953601
